Barrio,Tipo de Inmueble,Estado,Antigüedad,Área Construida (m2),Área Privada (m2),Estrato,Baños,Habitaciones,Parqueaderos,Piso N°,Barrio_clean,Barrio_group,Piso_cat
Prado,Apartaestudio,Usado,más de 30 años,360.0,360.0,4.0,4,5,0,1,PRADO,PRADO,1
La candelaria,Apartamento,Buen estado,16 a 30 años,158.0,158.0,4.0,3,4,1,8,LA CANDELARIA,LA CANDELARIA,3+
La Almeria,Casa,Usado,más de 30 años,380.0,380.0,4.0,5,7,0,2,LA ALMERIA,LA ALMERIA,2
Belén,Apartamento,Buen estado,16 a 30 años,80.0,80.0,5.0,2,3,1,3,BELEN,BELEN,3+
Calasanz parte alta,Apartamento,Usado,16 a 30 años,87.0,87.0,4.0,2,3,1,8,CALASANZ PARTE ALTA,CALASANZ PARTE ALTA,3+
Robledo,Apartamento,Usado,más de 30 años,110.0,110.0,3.0,3,3,0,2,ROBLEDO,ROBLEDO,2
Calasanz,Apartamento,Usado,1 a 8 años,56.0,56.0,4.0,2,3,1,6,CALASANZ,CALASANZ,missing
Girardot,Apartaestudio,Usado,16 a 30 años,4000.0,4000.0,3.0,1,1,1,2,GIRARDOT,OTROS,missing
La mota,Apartamento,Usado,16 a 30 años,71.0,71.0,4.0,2,2,1,3,LA MOTA,LA MOTA,3+
La pilarica,Apartamento,Usado,1 a 8 años,55.0,55.0,4.0,2,2,0,4,LA PILARICA,LA PILARICA,3+
Vía Las Palmas,Apartamento,Usado,1 a 8 años,105.0,105.0,6.0,3,3,2,5,VIA LAS PALMAS,VIA LAS PALMAS,missing
El Poblado,Apartamento,Usado,9 a 15 años,259.0,259.0,6.0,4,3,3,5,EL POBLADO,EL POBLADO,missing
Laureles,Casa,Usado,16 a 30 años,70.0,70.0,6.0,1,4,0,1,LAURELES,LAURELES,1
Boston ,Apartamento,Usado,16 a 30 años,72.0,72.0,4.0,2,3,0,12,BOSTON,BOSTON,3+
Belén Aliadas,Apartamento,Usado,1 a 8 años,70.0,70.0,4.0,2,2,0,1,BELEN ALIADAS,BELEN ALIADAS,1
Calasanz,Apartamento,Nuevo,1 a 8 años,58.0,58.0,3.0,2,3,1,18,CALASANZ,CALASANZ,3+
Loma Benedictinos,Apartamento,Usado,9 a 15 años,120.0,120.0,6.0,3,3,1,2,LOMA BENEDICTINOS,OTROS,missing
Robledo,Apartamento,Usado,16 a 30 años,47.0,47.0,2.0,1,1,0,5,ROBLEDO,ROBLEDO,missing
Pajarito,Apartamento,Usado,1 a 8 años,55.0,55.0,3.0,1,3,1,12,PAJARITO,PAJARITO,3+
Laureles,Casa,Nuevo,menor a 1 año,180.0,180.0,4.0,3,4,0,1,LAURELES,LAURELES,missing
Brasilia ,Apartamento,Usado,1 a 8 años,60.0,60.0,4.0,3,2,0,5,BRASILIA,OTROS,3+
La mota,Casa,Usado,16 a 30 años,116.0,116.0,5.0,3,3,2,1,LA MOTA,LA MOTA,missing
Maria Auxiliadora,Apartamento,Usado,1 a 8 años,50.0,50.0,3.0,2,2,0,15,MARIA AUXILIADORA,OTROS,3+
Loma del Indio,Apartamento,Buen estado,16 a 30 años,80.0,80.0,5.0,3,3,1,8,LOMA DEL INDIO,LOMA DEL INDIO,3+
Calasanz,Apartamento,Usado,menor a 1 año,60.0,60.0,3.0,2,3,1,10,CALASANZ,CALASANZ,missing
Vía Las Palmas,Apartamento,Usado,1 a 8 años,7000.0,7000.0,6.0,2,3,1,7,VIA LAS PALMAS,VIA LAS PALMAS,missing
Robledo,Apartamento,Usado,menor a 1 año,68.0,68.0,4.0,2,2,1,12,ROBLEDO,ROBLEDO,missing
Laureles,Apartaestudio,Usado,16 a 30 años,35.0,35.0,5.0,2,1,1,5,LAURELES,LAURELES,3+
Simon bolivar,Apartaestudio,Usado,1 a 8 años,35.0,35.0,5.0,1,1,0,3,SIMON BOLIVAR,SIMON BOLIVAR,missing
La america,Apartamento,Usado,1 a 8 años,155.0,155.0,4.0,3,3,1,2,LA AMERICA,LA AMERICA,missing
El Poblado,Apartamento,Usado,16 a 30 años,14000.0,14000.0,6.0,3,3,1,4,EL POBLADO,EL POBLADO,missing
La pilarica,Apartamento,Usado,1 a 8 años,55.0,55.0,4.0,2,2,0,3,LA PILARICA,LA PILARICA,3+
Calasanz,Apartamento,Usado,menor a 1 año,58.0,58.0,4.0,3,2,1,7,CALASANZ,CALASANZ,missing
El Poblado,Apartamento,Usado,1 a 8 años,111.0,111.0,6.0,3,3,0,18,EL POBLADO,EL POBLADO,3+
Provenza,Apartamento,Usado,1 a 8 años,100.0,100.0,6.0,2,1,2,5,PROVENZA,PROVENZA,3+
Manrique,Casa,Usado,16 a 30 años,85.0,85.0,3.0,1,2,0,2,MANRIQUE,MANRIQUE,2
Loma del Indio,Apartamento,Usado,1 a 8 años,78.0,78.0,4.0,2,3,1,5,LOMA DEL INDIO,LOMA DEL INDIO,missing
Belén San Bernardo,Apartaestudio,Usado,16 a 30 años,30.0,30.0,3.0,1,1,0,1,BELEN SAN BERNARDO,BELEN SAN BERNARDO,1
Las palmas,Apartamento,Usado,1 a 8 años,80.0,80.0,5.0,2,3,1,18,LAS PALMAS,LAS PALMAS,3+
La america,Apartaestudio,Usado,16 a 30 años,50.0,50.0,4.0,1,1,1,5,LA AMERICA,LA AMERICA,3+
Laureles,Casa,Nuevo,menor a 1 año,160.0,160.0,4.0,4,3,2,1,LAURELES,LAURELES,missing
Belén,Apartamento,Usado,16 a 30 años,50.0,50.0,4.0,1,1,0,4,BELEN,BELEN,missing
Santa cruz,Casa,Usado,9 a 15 años,8300.0,8300.0,2.0,2,5,0,1,SANTA CRUZ,OTROS,missing
Laureles,Apartamento,Usado,16 a 30 años,55.0,55.0,5.0,1,2,1,9,LAURELES,LAURELES,3+
Ciudad del Río,Apartamento,Nuevo,1 a 8 años,109.0,109.0,5.0,3,3,2,18,CIUDAD DEL RIO,CIUDAD DEL RIO,3+
Doce de octubre,Apartamento,Usado,16 a 30 años,45.0,45.0,4.0,1,1,0,3,DOCE DE OCTUBRE,OTROS,3+
Las palmas,Casa,Usado,1 a 8 años,316.0,1414.0,5.0,5,3,6,2,LAS PALMAS,LAS PALMAS,2
Barrio Nuevo,Apartaestudio,Usado,16 a 30 años,28.0,28.0,3.0,1,1,1,1,BARRIO NUEVO,OTROS,1
